0	1
タンパク 質 多め の 日本 食 	焼き魚 定食 
イタリアン で こってり し た もの 	カルボナーラ 
甘い ランチ 	フレンチ トースト 
友達 と ワイワイ 食べる 	ピザ 
小腹 が すい た 隙間 時間 	お にぎり 
パン 系 で 軽め に 食べ たい 	サンドウィッチ 
お腹 に 優しい もの が いい な 	お 粥 
疲れ が 取れ て 温まる もの 	薬膳 鍋 
温かい 麺類 食べ たい けど 野菜 も 摂取 し たい 	ちゃんぽん 
ガッツリ お 肉 食べ たい 	ステーキ 
脂質 低め で 贅沢 な お 食事 食べ たい 	お 寿司 
パクチー 入っ て て 手軽 に 食べれる もの 	バインミー 
お 金 ない けど 牛肉 食べ たい 	牛丼 
エスニック で 糖質 少なめ が いい な 	バインセオ 
暑い の で さっぱり 冷たい もの が 食べ たい 	ざる そば 
身体 が 温まる 洋食 	クリーム シチュー 
北海道 の 風 を 感じ たい 	ジンギスカン 
こってり 系 で 楽しく 食べれる もの 	串カツ 
魚 系 で 非 日常 感 ある 贅沢 し たい 	うな重 
いろんな 種類 の 魚介 楽しみ たい 	海鮮 丼 
ワイン に 合っ て 軽く 食べれる もの 	フラムクーヘン 
甘辛 な チキン 	ヤンニョムチキン 
肉汁 たっぷり な メイン 	ハンバーグ 
キャベツ と 合わせ て お 肉 食べ たい 	生姜 焼き 
ハワイ 気分 に なれる 	ロコモコ 
真冬 に こたつ で あったまり たい 	お でん 
熱く て 辛い もの 食べ て スッキリ し たい 	火鍋 
童心 に 帰り たい 	お 子 様 ランチ 
ヘルシー に 豚肉 食べ たい 	しゃぶしゃぶ 
チーズ 入っ てる お 米系 	ドリア 
サラッ と 食べれる ねばねば 系 	とろろそば 
インパクト ある 魚介 料理 	ロブスター 
軽く 鶏肉 食べ たい 	焼き鳥 
濃いめ の 味付け で 豚肉 食べ たい 	豚丼 
試合 前 の 勝負 飯 	カツ 
食欲 ない けど さらっ と 食べ たい 	お 茶漬け 
安く 素早く たべれる 麺類 	ラーメン 
子供 と 一緒 に 思いっきり お腹 を 満たす 	焼肉 
ケチャップ と 一緒 に 卵 料理 	オムライス 
朝ごはん 簡単 に 済ま せ たい 	卵かけ ご飯 
レモン サワー に あう 揚げ物 	唐揚げ 
ひな祭り の ごはん 	ちらし寿司 
みんな で ワイワイ チーズ 系 	チーズ フォンデュ 
野菜 たくさん 取れる 韓国 料理 	ビビンバ 
スパイス の きい て いる もの 	カレー ライス 
台湾 な 感じ で お 肉 食べ たい 	ルーロー 飯 
身体 が あったまる 手軽 に 食べれる もの 	肉まん 
野菜 も お 肉 も 食べ たい 	野菜 炒め 
暑い の で 身体 を 冷やす 麺 料理 が いい な 	冷やし 中華 
すごく 甘い もの 食べ たい 	パンケーキ 
身体 の 冷え と 疲労 感 に 効く もの 食べ たい な 	参鶏湯 
給食 で 食べ て た 懐かしい もの 	揚げ パン 
すごい お腹 すい た から お 肉 食べ たい 	ハンバーグ 
秋 の オ ススメ の 魚 は ？ 	秋刀魚 の 塩焼き 
大 人数 で シェア し たい 	ピザ 
お 祭り の 屋台 の 定番 メシ 	焼きそば 
大通 公園 で 食べ たい 	焼き トウキビ 
みんな で ワイワイ 作っ て 食べ たい 	たこ焼き 
眠れ ない 夜 に 	ホット ココア 
アメリカン な 飲み物 	コーラ 
生魚 が 食べ たい 	お 寿司 
新鮮 な お 魚 が 食べ たい 	お 寿司 
日本 の 伝統 食 が 食べ たい 	お 寿司 
